,Unnamed: 0,id,x,y,z,first_timestamp,last_timestamp,latitude,longitude,first_unix_timestamp,last_unix_timestamp,x_3011,y_3011,xy_3011,nearby_parking_ids,closest_parking_id,all_close_parking_id,closest_parking_geom
8,8,31,1063.1616,274.3666,31.577951,623081999074153,623083163332620,59.30790804978032,18.027584401205537,1682337119.791125,1682337120.9553835,151571.24409353055,6576969.686092908,"[151571.24409353055, 6576969.686092908]","[7678, 13843]",13843,"{7678: [15.120528536130461], 13843: [6.637441718461267]}","[[151574.473349, 6576963.887167], [151589.196784, 6576952.894341]]"
9,9,33,1068.8466,270.84064,31.303724,623082996993349,623083995029026,59.30787638422826,18.02768418832258,1682337120.789044,1682337121.7870798,151576.92956560163,6576966.160893947,"[151576.92956560163, 6576966.160893947]","[7407, 7678, 7678, 13843, 13843]",13843,"[{7407: [19.262083874226448], 7678: [13.786552947224223], 13843: [3.2914025627824763]}]","[[151574.473349, 6576963.887167], [151589.196784, 6576952.894341]]"
10,10,34,1072.9042,267.79724,31.32184,623083329671891,623084826725484,59.30784905449237,18.02775540744277,1682337121.1217227,1682337122.6187763,151580.98757305922,6576963.118037125,"[151580.98757305922, 6576963.118037125]","[7407, 7678, 7678, 13843, 13843]",13843,"[{7407: [16.115616206180793], 7678: [13.75691114618603], 13843: [3.280935073365533]}]","[[151574.473349, 6576963.887167], [151589.196784, 6576952.894341]]"
11,11,35,1066.7552,262.20648,31.614662,623083662350484,623085492082620,59.30779888389875,18.02764742961538,1682337121.4544013,1682337123.2841334,151574.8393214606,6576957.5264539,"[151574.8393214606, 6576957.5264539]","[7407, 7678, 7678, 13843, 13843]",13843,"[{7407: [11.447294796960579], 7678: [5.598099715571083], 13843: [4.877876358876037]}]","[[151574.473349, 6576963.887167], [151589.196784, 6576952.894341]]"
12,12,38,1090.1403,250.3974,31.119736,623087987171891,623089484107214,59.30769281857222,18.028057912177275,1682337125.7792227,1682337127.276158,151598.22600254626,6576945.720504424,"[151598.22600254626, 6576945.720504424]","[7407, 7407, 7678, 13843]",7407,"[{7407: [10.183149332229677], 7678: [19.16580298884374], 13843: [11.532160195994614]}]","[[151579.500604, 6576947.071168], [151591.267397, 6576938.285833]]"
13,13,37,1102.4564,248.73358,30.400347,623087987171891,623089816904026,59.3076778511496,18.028274120939265,1682337125.7792227,1682337127.608955,151610.5423253821,6576944.058333193,"[151610.5423253821, 6576944.058333193]",[622],622,,"[[151643.514, 6576923.779663], [151627.047, 6576935.407336]]"
14,14,39,1099.1796,247.21672,30.855673,623089650446485,623090316038424,59.3076642433984,18.02821658687018,1682337127.4424973,1682337128.1080892,151607.26572842125,6576942.5410345085,"[151607.26572842125, 6576942.5410345085]",[7407],7407,,"[[151579.500604, 6576947.071168], [151591.267397, 6576938.285833]]"
15,15,41,1094.1848,234.12158,30.734688,623093208168798,623093707186663,59.30754670619687,18.02812883366233,1682337131.0002196,1682337131.4992375,151602.27268145396,6576929.445225745,"[151602.27268145396, 6576929.445225745]","[7407, 11735, 11735, 11735, 11735]",11735,"[{7407: [14.116395522438602], 11735: [12.01571378548534]}]","[[151553.566522, 6576882.61682], [151557.343824, 6576885.347901], [151595.48918, 6576912.508762], [151595.762086, 6576912.716728], [151596.020949, 6576912.941932], [151600.93422, 6576917.504292]]"
16,16,44,1084.5577,214.5193,29.78731,623093906793798,623096072041914,59.30737076868636,18.027959725967904,1682337131.698845,1682337133.8640928,151592.64820557073,6576909.841656796,"[151592.64820557073, 6576909.841656796]","[10765, 11735, 11735, 11735, 11735]",11735,"[{10765: [13.132510374150968], 11735: [1.2559022311443098]}]","[[151553.566522, 6576882.61682], [151557.343824, 6576885.347901], [151595.48918, 6576912.508762], [151595.762086, 6576912.716728], [151596.020949, 6576912.941932], [151600.93422, 6576917.504292]]"
17,17,49,1078.9188,212.33563,29.812338,623096072041914,623097402756184,59.30735118112652,18.02786072140253,1682337133.8640928,1682337135.194807,151587.00959785873,6576907.657231888,"[151587.00959785873, 6576907.657231888]","[10765, 11735, 11735, 11735, 11735]",11735,"[{10765: [9.807975701845766], 11735: [0.32912920972213583]}]","[[151553.566522, 6576882.61682], [151557.343824, 6576885.347901], [151595.48918, 6576912.508762], [151595.762086, 6576912.716728], [151596.020949, 6576912.941932], [151600.93422, 6576917.504292]]"
18,18,54,1074.4148,208.53639,29.499178,623097735434726,623098234452591,59.30731708824273,18.027781632627807,1682337135.5274856,1682337136.026503,151582.50610643462,6576903.857388903,"[151582.50610643462, 6576903.857388903]","[10765, 11735, 11735, 11735]",11735,"[{10765: [10.24959822062373], 11735: [0.05970009680337405]}]","[[151553.566522, 6576882.61682], [151557.343824, 6576885.347901], [151595.48918, 6576912.508762], [151595.762086, 6576912.716728], [151596.020949, 6576912.941932], [151600.93422, 6576917.504292]]"
