,image name,car_count,timestamp_true,Count,num_timestamp,month_no,month_name,day,day_of_week,day_of_week_name,is_weekend,hour_of_day
479,Kris_1106-1153.png,20,2023-06-11 11:53:00,20,1686484380.0,6,June,11,6,Sunday,0,11
480,Kris_0608-0917.png,8,2023-08-06 09:17:00,8,1691313420.0,8,August,6,6,Sunday,0,9
481,Kris_1006-1241.png,18,2023-06-10 12:41:00,18,1686400860.0,6,June,10,5,Saturday,0,12
482,Kris_2606-1007.png,24,2023-06-26 10:07:00,24,1687774020.0,6,June,26,0,Monday,0,10
483,Kris_2606-0349.png,15,2023-06-26 03:49:00,15,1687751340.0,6,June,26,0,Monday,0,3
484,Kris_0508-0641.png,1,2023-08-05 06:41:00,1,1691217660.0,8,August,5,5,Saturday,0,6
485,Kris_0508-0209.png,6,2023-08-05 02:09:00,6,1691201340.0,8,August,5,5,Saturday,0,2
486,Kris_1206-1524.png,30,2023-06-12 15:24:00,30,1686583440.0,6,June,12,0,Monday,0,15
487,Kris_0608-0216.png,1,2023-08-06 02:16:00,1,1691288160.0,8,August,6,6,Sunday,0,2
488,Kris_1308-1651.png,0,2023-08-13 16:51:00,0,1691945460.0,8,August,13,6,Sunday,0,16
489,Kris_0808-1233.png,33,2023-08-08 12:33:00,33,1691497980.0,8,August,8,1,Tuesday,0,12
490,Kris_0808-0731.png,19,2023-08-08 07:31:00,19,1691479860.0,8,August,8,1,Tuesday,0,7
491,Kris_2406-2011.png,2,2023-06-24 20:11:00,2,1687637460.0,6,June,24,5,Saturday,0,20
492,Kris_1408-0023.png,0,2023-08-14 00:23:00,0,1691972580.0,8,August,14,0,Monday,0,0
493,Kris_1306-1111.png,28,2023-06-13 11:11:00,28,1686654660.0,6,June,13,1,Tuesday,0,11
494,Kris_0806-1902.png,15,2023-06-08 19:02:00,15,1686250920.0,6,June,8,3,Thursday,0,19
495,Kris_0508-0009.png,1,2023-08-05 00:09:00,1,1691194140.0,8,August,5,5,Saturday,0,0
496,Kris_1906-1917.png,32,2023-06-19 19:17:00,32,1687202220.0,6,June,19,0,Monday,0,19
497,Kris_0208-2103.png,0,2023-08-02 21:03:00,0,1691010180.0,8,August,2,2,Wednesday,0,21
498,Kris_0908-0236.png,6,2023-08-09 02:36:00,6,1691548560.0,8,August,9,2,Wednesday,0,2
499,Kris_1308-1751.png,0,2023-08-13 17:51:00,0,1691949060.0,8,August,13,6,Sunday,0,17
500,Kris_2006-1118.png,31,2023-06-20 11:18:00,31,1687259880.0,6,June,20,1,Tuesday,0,11
501,Kris_1306-1816.png,23,2023-06-13 18:16:00,23,1686680160.0,6,June,13,1,Tuesday,0,18
502,Kris_0706-0611.png,13,2023-06-07 06:11:00,13,1686118260.0,6,June,7,2,Wednesday,0,6
503,Kris_1308-1119.png,0,2023-08-13 11:19:00,0,1691925540.0,8,August,13,6,Sunday,0,11
504,Kris_1008-2022.png,28,2023-08-10 20:22:00,28,1691698920.0,8,August,10,3,Thursday,0,20
505,Kris_2006-0213.png,4,2023-06-20 02:13:00,4,1687227180.0,6,June,20,1,Tuesday,0,2
506,Kris_2006-0913.png,28,2023-06-20 09:13:00,28,1687252380.0,6,June,20,1,Tuesday,0,9
507,Kris_2506-2040.png,6,2023-06-25 20:40:00,6,1687725600.0,6,June,25,6,Sunday,0,20
508,Kris_1106-1253.png,11,2023-06-11 12:53:00,11,1686487980.0,6,June,11,6,Sunday,0,12
509,Kris_0508-2014.png,0,2023-08-05 20:14:00,0,1691266440.0,8,August,5,5,Saturday,0,20
510,Kris_1206-1933.png,13,2023-06-12 19:33:00,13,1686598380.0,6,June,12,0,Monday,0,19
511,Kris_1308-0147.png,0,2023-08-13 01:47:00,0,1691891220.0,8,August,13,6,Sunday,0,1
512,Kris_2606-0530.png,15,2023-06-26 05:30:00,15,1687757400.0,6,June,26,0,Monday,0,5
513,Kris_1306-0608.png,12,2023-06-13 06:08:00,12,1686636480.0,6,June,13,1,Tuesday,0,6
514,Kris_0508-1011.png,3,2023-08-05 10:11:00,3,1691230260.0,8,August,5,5,Saturday,0,10
515,Kris_1306-0035.png,15,2023-06-13 00:35:00,15,1686616500.0,6,June,13,1,Tuesday,0,0
516,Kris_2506-2318.png,7,2023-06-25 23:18:00,7,1687735080.0,6,June,25,6,Sunday,0,23
517,Kris_0508-1042.png,1,2023-08-05 10:42:00,1,1691232120.0,8,August,5,5,Saturday,0,10
518,Kris_0308-1608.png,3,2023-08-03 16:08:00,3,1691078880.0,8,August,3,3,Thursday,0,16
519,Kris_0706-1215.png,25,2023-06-07 12:15:00,25,1686140100.0,6,June,7,2,Wednesday,0,12
520,Kris_0608-1719.png,5,2023-08-06 17:19:00,5,1691342340.0,8,August,6,6,Sunday,0,17
521,Kris_0308-1407.png,0,2023-08-03 14:07:00,0,1691071620.0,8,August,3,3,Thursday,0,14
522,Kris_1806-0506.png,12,2023-06-18 05:06:00,12,1687064760.0,6,June,18,6,Sunday,0,5
523,Kris_1006-1141.png,15,2023-06-10 11:41:00,15,1686397260.0,6,June,10,5,Saturday,0,11
524,Kris_2606-1017.png,21,2023-06-26 10:17:00,21,1687774620.0,6,June,26,0,Monday,0,10
525,Kris_1008-2223.png,8,2023-08-10 22:23:00,8,1691706180.0,8,August,10,3,Thursday,0,22
526,Kris_1006-2115.png,17,2023-06-10 21:15:00,17,1686431700.0,6,June,10,5,Saturday,0,21
527,Kris_1006-1513.png,17,2023-06-10 15:13:00,17,1686409980.0,6,June,10,5,Saturday,0,15
528,Kris_1806-0607.png,13,2023-06-18 06:07:00,13,1687068420.0,6,June,18,6,Sunday,0,6
529,Kris_1306-1312.png,32,2023-06-13 13:12:00,32,1686661920.0,6,June,13,1,Tuesday,0,13
530,Kris_0806-0756.png,16,2023-06-08 07:56:00,16,1686210960.0,6,June,8,3,Thursday,0,7
531,Kris_0806-1459.png,25,2023-06-08 14:59:00,25,1686236340.0,6,June,8,3,Thursday,0,14
532,Kris_2506-0523.png,9,2023-06-25 05:23:00,9,1687670580.0,6,June,25,6,Sunday,0,5
533,Kris_0806-2103.png,9,2023-06-08 21:03:00,9,1686258180.0,6,June,8,3,Thursday,0,21
534,Kris_0508-0811.png,2,2023-08-05 08:11:00,2,1691223060.0,8,August,5,5,Saturday,0,8
535,Kris_0408-1413.png,0,2023-08-04 14:13:00,0,1691158380.0,8,August,4,4,Friday,0,14
536,Kris_2006-0501.png,25,2023-06-20 05:01:00,25,1687237260.0,6,June,20,1,Tuesday,0,5
537,Kris_0608-0817.png,6,2023-08-06 08:17:00,6,1691309820.0,8,August,6,6,Sunday,0,8
538,Kris_0308-0535.png,1,2023-08-03 05:35:00,1,1691040900.0,8,August,3,3,Thursday,0,5
539,Kris_0308-0204.png,0,2023-08-03 02:04:00,0,1691028240.0,8,August,3,3,Thursday,0,2
540,Kris_2006-1312.png,26,2023-06-20 13:12:00,26,1687266720.0,6,June,20,1,Tuesday,0,13
541,Kris_1906-1752.png,23,2023-06-19 17:52:00,23,1687197120.0,6,June,19,0,Monday,0,17
542,Kris_0608-0015.png,1,2023-08-06 00:15:00,1,1691280900.0,8,August,6,6,Sunday,0,0
543,Kris_1006-0739.png,2,2023-06-10 07:39:00,2,1686382740.0,6,June,10,5,Saturday,0,7
544,Kris_0508-0741.png,2,2023-08-05 07:41:00,2,1691221260.0,8,August,5,5,Saturday,0,7
